Wall time,Step,Value
1712812819.3123071,1637,0.05544251576066017
1712812824.3151948,1638,0.09095152467489243
1712812834.130795,1640,0.026601845398545265
1712812863.377104,1646,0.07766097038984299
1712812872.770709,1648,0.250456839799881
1712812886.7954316,1651,0.014003454707562923
1712812906.9340363,1655,0.3911096751689911
1712812926.113134,1659,0.061070799827575684
1712812935.8572316,1661,0.02189107984304428
1712812949.7734835,1664,0.034037020057439804
1712812954.4632847,1665,0.03451058268547058
1712812978.522286,1670,0.13748988509178162
1712812983.190266,1671,0.3988591134548187
1712812993.3538735,1673,0.5754322409629822
1712813003.5957916,1675,0.4399833679199219
1712813008.7162387,1676,0.15093432366847992
1712813013.7433488,1677,0.3658692538738251
1712813018.4021652,1678,0.3513387441635132
1712813028.0768676,1680,0.3734508752822876
1712813037.6959288,1682,0.2741920053958893
1712813056.6774035,1686,0.3059227466583252
1712813066.5372803,1688,0.04658344388008118
1712813075.8928626,1690,0.18920855224132538
1712813090.3013353,1693,0.3618966341018677
1712813094.968699,1694,0.13001252710819244
1712813114.3705702,1698,0.08657669275999069
1712813129.334149,1701,0.03187887743115425
1712813138.9730906,1703,0.4492495357990265
1712813144.0629485,1704,0.09920220822095871
1712813153.9769018,1706,0.06729254871606827
1712813168.2187924,1709,0.01783258281648159
1712813172.9613435,1710,0.31045836210250854
1712813178.014582,1711,0.29568061232566833
1712813182.6298203,1712,0.25601139664649963
1712813207.81969,1717,0.022579660639166832
1712813212.5334485,1718,0.28925758600234985
1712813217.1774309,1719,0.08849815279245377
1712813235.9952967,1723,0.03183044493198395
1712813241.137674,1724,0.0331411249935627
1712813250.536188,1726,0.2288442850112915
1712813260.3959816,1728,0.03305186703801155
1712813274.9556992,1731,0.021957555785775185
1712813284.3527026,1733,0.028975732624530792
1712813289.4581316,1734,0.17390836775302887
1712813294.204044,1735,0.3264695107936859
1712813299.3013775,1736,0.008388346992433071
1712813328.9306517,1742,0.2615646421909332
1712813348.1136827,1746,0.06757601350545883
1712813353.1688647,1747,0.5315974950790405
1712813357.825773,1748,0.02137676626443863
1712813362.490892,1749,0.171562060713768
1712813387.760283,1754,0.03207065165042877
1712813425.8018947,1762,0.04783947765827179
1712813430.4633331,1763,0.16773970425128937
1712813449.6332874,1767,0.3805061876773834
1712813459.5218735,1769,0.04183730110526085
1712813474.0753481,1772,0.04216289520263672
1712813478.7927787,1773,0.046810705214738846
1712813483.8933644,1774,0.02990790456533432
1712813488.5560114,1775,0.05118582770228386
1712813498.4118316,1777,0.42517662048339844
1712813503.636479,1778,0.006096582394093275
1712813518.5769475,1781,0.12757086753845215
1712813542.821848,1786,0.038415659219026566
1712813547.5143926,1787,0.3178512752056122
